"point","lambda","low","high","year"
"observed (w/ culling)",-100.19959100733,-183.118196360792,-18.2940551746693,1993
"observed (w/ culling)",76.4427479567912,20.1828699827336,134.648408689064,1994
"observed (w/ culling)",-455.253037481799,-519.319164564224,-389.280154561671,1995
"observed (w/ culling)",-115.392425957802,-156.949123412953,-75.5795820749151,1996
"observed (w/ culling)",-81.0149203169974,-118.301003943478,-45.2630365760004,1997
"observed (w/ culling)",9.0284147872574,-20.0972689967141,37.4607639162953,1998
"observed (w/ culling)",-6.41037941688468,-36.3706635708542,27.2385324667474,1999
"observed (w/ culling)",9.78081345836059,-23.3910057084807,42.4624536078568,2000
"observed (w/ culling)",75.4828471731094,38.8491746319692,113.224878912763,2001
"observed (w/ culling)",31.6996189398942,-8.78689973176991,70.8960830450648,2002
"observed (w/ culling)",-66.3763436273202,-103.949378826355,-27.0751472101403,2003
"observed (w/ culling)",30.192890689238,-5.9231328162814,66.9150313512065,2004
"observed (w/ culling)",-47.9163488653546,-86.2415957210167,-8.29335285783024,2005
"observed (w/ culling)",-56.521761368549,-92.4633735303573,-21.481887747177,2006
"observed (w/ culling)",-6.0770211959467,-41.0690414947283,33.237329133302,2007
"observed (w/ culling)",-73.6475717073686,-101.64487734748,-40.8034438022032,2008
"uniform age structure",446.460741860948,291.181119908924,687.910169707126,1993
"uniform age structure",346.142326658858,222.97700646885,510.678461468122,1994
"uniform age structure",437.225808018394,298.672953260929,661.037634656772,1995
"uniform age structure",200.304363898124,141.407427395934,268.899519082674,1996
"uniform age structure",201.774894654727,139.297214593066,281.809219264983,1997
"uniform age structure",142.29220904688,97.7582985397063,198.753183670098,1998
"uniform age structure",140.047036526677,90.5462676473462,200.89346660421,1999
"uniform age structure",130.686873422355,81.949935252936,191.766765651091,2000
"uniform age structure",173.765197485508,117.764357822953,236.407690913215,2001
"uniform age structure",250.783014605014,172.981095084714,352.105146794757,2002
"uniform age structure",173.097301458831,112.002603974603,245.241369841723,2003
"uniform age structure",167.244743935822,114.584668668712,237.587825041394,2004
"uniform age structure",198.177679574108,141.722721113144,267.506702974079,2005
"uniform age structure",190.523777717007,132.658648236426,262.924723063625,2006
"uniform age structure",203.657282642252,136.525478716906,293.699158248884,2007
"uniform age structure",115.796606817082,68.1994590248586,174.999889207161,2008
"stable age structure",283.967564854051,171.082274090184,401.133284646606,1993
"stable age structure",228.971809515517,138.378830676082,305.4706901447,1994
"stable age structure",246.955435802182,142.916027417774,335.764444474324,1995
"stable age structure",130.747923283435,96.8505486205423,166.576960243691,1996
"stable age structure",126.887996129987,97.2306278173327,161.016534619881,1997
"stable age structure",106.74689832306,79.8260225760473,133.701743046457,1998
"stable age structure",97.4583221378366,71.5252403758443,127.315010471426,1999
"stable age structure",93.9877962113303,66.7338738587149,123.774657479569,2000
"stable age structure",100.073503914769,74.0663389760469,128.944398961566,2001
"stable age structure",136.912135472047,104.901570669874,171.236173423712,2002
"stable age structure",101.671491260294,70.115549112039,134.964493512635,2003
"stable age structure",93.4652605873541,65.3375160219836,120.317804231651,2004
"stable age structure",107.615209879726,80.8225373021322,136.384937965282,2005
"stable age structure",98.5549345719495,72.2676195788154,130.631804832172,2006
"stable age structure",98.3127123129466,68.8908870453581,131.556307656657,2007
"stable age structure",68.5076659953189,36.9982111272941,103.289748965153,2008
