"group","year","median","CI_low","CI_high"
"all",1992,898.288673249565,820.958085413043,986.266209910151
"all",1993,800.505737085087,730.275419557608,874.488833015043
"all",1994,878.484858894196,808.128974044743,944.604887074243
"all",1995,421.21466141099,374.104002498963,472.956558464973
"all",1996,305.612090299725,267.307439156313,347.194378841522
"all",1997,224.156427851873,195.436652585796,260.901713209325
"all",1998,234.14535480494,204.96928984079,265.732264781305
"all",1999,226.572584871856,197.177006558787,262.310062110165
"all",2000,236.7605975355,203.880769660162,273.179607011945
"all",2001,313.493539678642,275.558601598522,352.431740465843
"all",2002,343.554241682223,305.997764987795,383.806179092776
"all",2003,277.678844709915,244.365040763202,319.277099301405
"all",2004,308.835704136847,270.446773267792,350.811806085316
"all",2005,260.219911899884,226.123237061775,299.119098348985
"all",2006,203.33542821961,173.402358521513,239.728171626566
"all",2007,196.500524971978,171.487957256637,232.954389063401
"all",2008,122.439871113263,100.194507594412,156.376532717251
