"year","pop_mean","CI_low","CI_high"
1992,722.35624022841,631.584038470619,883.539871612544
1993,554.31913031337,449.309412744598,750.906452662462
1994,678.537351054885,533.629354717026,873.987467982858
1995,391.793094626405,286.002723612052,551.611946745704
1996,249.517424436736,171.977121639,361.815955136607
1997,176.181343953584,118.862969996169,265.806375874504
1998,140.674631368946,94.300915304453,213.682418438766
1999,132.260135108016,86.2158965524044,207.087458321412
2000,132.952247531273,83.9057336466345,209.059764705465
2001,155.483496459362,101.204597437891,236.301938313746
2002,185.349190353046,119.678835123887,285.850970604812
2003,151.060710537524,96.3977117825983,239.315492272962
2004,151.302046552016,98.29423176294,241.994700129
2005,133.073867156822,82.931689254151,213.907582676496
2006,92.961937993403,58.2159733633018,152.991331484551
2007,86.4235660698557,54.3923889636229,141.896336356795
2008,65.232798234865,40.9238958172033,109.203365686615
