"year","median","CI_low","CI_high","age","sex"
1992,0.847674008105895,0.762411325395422,0.915040106800323,"fawn","female"
1993,0.847777103259514,0.775638787852644,0.905632884474028,"fawn","female"
1994,0.846410994347335,0.761192417328681,0.912723374861001,"fawn","female"
1995,0.848271498402189,0.804724560539036,0.887172655611066,"fawn","female"
1996,0.850393655170819,0.796037601013242,0.897140695029506,"fawn","female"
1997,0.851692868329059,0.799163898619598,0.902088262797791,"fawn","female"
1998,0.851671356808755,0.797430363248048,0.902742539290944,"fawn","female"
1999,0.852143661396954,0.795967296893887,0.907081941228854,"fawn","female"
2000,0.852166142545013,0.799275446048296,0.90376310373691,"fawn","female"
2001,0.850580504211261,0.802156145915197,0.89779472358335,"fawn","female"
2002,0.852881056420307,0.806045417759087,0.896104346848665,"fawn","female"
2003,0.849725622800264,0.799428263134517,0.901403529155398,"fawn","female"
2004,0.851347533892626,0.799396635973333,0.895420629601822,"fawn","female"
2005,0.850546913899711,0.796923920197485,0.903920458525044,"fawn","female"
2006,0.851000015635797,0.793333725304373,0.908591033553539,"fawn","female"
2007,0.851971475877018,0.793777413418437,0.911490207563826,"fawn","female"
1992,0.803654359399405,0.644248032926248,0.855744503764293,"yearling","female"
1993,0.81182446044949,0.666607667895476,0.847086236089353,"yearling","female"
1994,0.80791351247821,0.647474582400291,0.853240438594244,"yearling","female"
1995,0.836980086925864,0.775975644151168,0.870641479584945,"yearling","female"
1996,0.847198092365772,0.799063107767689,0.887467721743844,"yearling","female"
1997,0.858924820391396,0.795185250834056,0.906221801759716,"yearling","female"
1998,0.856150879623586,0.794795854361526,0.904417959272198,"yearling","female"
1999,0.858058846681151,0.798656000205435,0.906980804405199,"yearling","female"
2000,0.856947206224618,0.797552577144238,0.90354659357742,"yearling","female"
2001,0.846826847406426,0.798717906061341,0.88954718704667,"yearling","female"
2002,0.844064037134161,0.79422049905589,0.881224288374127,"yearling","female"
2003,0.852899724138051,0.799112067176784,0.897202717745712,"yearling","female"
2004,0.847633759892202,0.799667499550769,0.88902910620545,"yearling","female"
2005,0.854130209149261,0.796725321393586,0.897746013034582,"yearling","female"
2006,0.859403256734177,0.793367426146239,0.914492514463401,"yearling","female"
2007,0.860432975042834,0.795284049731604,0.915134122264257,"yearling","female"
1992,0.843501150266755,0.756849027050561,0.906247518233486,"adult","female"
1993,0.843642878549463,0.768023016978532,0.897386330590235,"adult","female"
1994,0.84294838495884,0.753804468501991,0.907474553156367,"adult","female"
1995,0.847286257065702,0.799271110774719,0.887224553854522,"adult","female"
1996,0.847628461715171,0.796389460869778,0.897815634092503,"adult","female"
1997,0.850193946941173,0.788968753878088,0.9069569374952,"adult","female"
1998,0.850664737198867,0.790811215829898,0.903536732063731,"adult","female"
1999,0.850950921043433,0.787237053180007,0.907800869251338,"adult","female"
2000,0.851590952578341,0.789971210753715,0.902990793096164,"adult","female"
2001,0.852963759655696,0.801015704035383,0.895946333516111,"adult","female"
2002,0.851225826167519,0.801998565259438,0.893677577476989,"adult","female"
2003,0.850944885358203,0.795958670744415,0.901983418506693,"adult","female"
2004,0.851468041186402,0.797588715647578,0.897961372136669,"adult","female"
2005,0.851864069902905,0.793701926589274,0.901394694537519,"adult","female"
2006,0.853294971316874,0.785321948496203,0.912161677061341,"adult","female"
2007,0.85334238656795,0.791943798672849,0.913704846699571,"adult","female"
1992,0.8159291636084,0.734878816428788,0.902778130446054,"fawn","male"
1993,0.821373358315296,0.750002058556335,0.892217192006651,"fawn","male"
1994,0.818496583768289,0.736517233650372,0.894852337498399,"fawn","male"
1995,0.838209091341999,0.796787477630942,0.873758591297175,"fawn","male"
1996,0.842683048083843,0.799001411982697,0.893018445751654,"fawn","male"
1997,0.845723157914667,0.794598611349419,0.89943696700411,"fawn","male"
1998,0.845395015169427,0.793204102738625,0.900222630472424,"fawn","male"
1999,0.846209340324708,0.792240021170585,0.902078918810438,"fawn","male"
2000,0.846142700871549,0.795724261600347,0.902175113861804,"fawn","male"
2001,0.843260408078922,0.798071091222163,0.88846310806641,"fawn","male"
2002,0.8420512659488,0.797307696284003,0.883205603762197,"fawn","male"
2003,0.844621837708047,0.797177302623831,0.896044192104903,"fawn","male"
2004,0.843057491714282,0.800156666034704,0.889896598602126,"fawn","male"
2005,0.845039906574631,0.793994533851585,0.902026235298975,"fawn","male"
2006,0.847736655505147,0.791833919673701,0.907052894332007,"fawn","male"
2007,0.848132705384127,0.795034338520156,0.907910870959652,"fawn","male"
